
2020-06-16 11:11:52.002448
SAMPLE               INPUT                OUTPUT               PATH                                                     TIME
78                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008002996444702148s 
79                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0069997310638427734s 
8                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006972074508666992s 
80                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006031990051269531s 
81                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007966756820678711s 
82                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007995128631591797s 
83                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0069692134857177734s 
84                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008000850677490234s 
85                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005970478057861328s 
86                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006997346878051758s 
87                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0060007572174072266s 
88                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.00597381591796875s 
89                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0069692134857177734s 
9                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008966922760009766s 
90                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.00800013542175293s 
91                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008002519607543945s 
92                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007001161575317383s 
93                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0060024261474609375s 
94                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005998134613037109s 
95                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007003068923950195s 
96                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007997751235961914s 
97                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0069997310638427734s 
98                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0070018768310546875s 
99                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0070002079010009766s 
OVERALL TIME: 8.93810749053955s 
 UPDATE MAX VALUES 
SAMPLE               FORCE                DISPLACEMENT        
1                    0                    0.0014098985677083334 
10                   239.35389353252174   0.002598183723958333 
100                  239.35389353252174   0.01637962191220238  
101                  509.4595707608114    0.01637962191220238  
83                   532.7206297911982    0.01637962191220238  
